Date,Rating,Title,Review
","❌ Not Verified |  The security check is ridiculously slow. The TSA personnel showed no urgency in getting people through the check. It took 1-2 minutes to get each passenger through the checkpoint, and there were security lanes that were closed even though the security line was snaking for hundreds of yards through the airport. I missed my flight despite being at the airport nearly 2 hours before my flight. This was unacceptable handling of the situation by the TSA personnel. Other international airports troubleshoot when security is backed up to try and get people on their flights. Sea-Tac’s security didn’t seem to much care."
25th May 2018,2,"""people were missing flights""",❌ Not Verified |  Today's queue time just to get to TSA checkpoint was an hour. TSA late opening up extra lines and people were missing flights. Do not schedule 8 am departure from Seattle and don't fly there if you can avoid it.
22nd May 2018,1,"""It was a mess!""",❌ Not Verified |  I travel internationally several times in a year. This was the first I used Seattle as my port of entry. After we got off the plane and prior to reaching the immigration area we were stopped and advised that there is a backlog and we have to wait. The announcer advised all the passengers to download the Global Passport App and complete it and as soon as we answer questions and receive the QR code we could breeze part through immigration clearance. I did this and indeed went passed through quickly only to be stopped at luggage claim and customs clearance. It was a mess! Luggage from different airlines were piled on the same luggage belts. After I found my luggage there was a long line of people trying to clear customs. It took about 2 hours to clear customer and when I asked the customs officer why there is such a back log she said the new system made it a mess. I guess a new system was put in place but not properly staffed. Will not be using Seattle Airport anymore as a port of entry.
20th May 2018,3,"""security used to be well managed""",❌ Not Verified | SEATAC really was screwed up security. Used to be well managed. Now incredibly long lines for general while manpower running Clear or TSA sitting bored and apologizing for poor leadership decisions. Felt bad for them. They were clearly embarrassed by new line management situation. I fly monthly and have never seen SEATAC so bad. Someone in management needs to be fired.
16th May 2018,1,"""the worst airport experience""","✅ Trip Verified |  This is the worst airport experience I have  had. I will never be flying out from this airport again! 2 hours in the TSA line with my wife and three children. Got here at 6:30 for a 10:00 flight to Hawaii, got to the terminal with the people still at the gate going in and the receptionist wouldn’t let us on! Worst customer service, worst airport experience, worst attitudes by the airport personnel!"
4th May 2018,1,"""1h30m in queues""","❎ Not Verified | This is from my 2 recent arrivals experiences. There are 8 ""International"" flights landing within span of 30 minutes. Even if we consider a minimum 150 passengers from non us citizen and stand in queue, total people standing will be 1200. If one person spending roughly 5 minutes it's not rocket science to deploy the required capacity to clear queues. I spent 1 hour 30 minutes both times in these queues. Another chaos at the luggage belt, no discipline at all. I don't know the role played by airport staff to streamline these processes and traffic load management. Same thing happens at the boarding train point, total chaos. It's a small conveyor belt and everyone jumps on. It's like you are going to ride last scheduled train which takes you to exit doors. Overall, I will suggest to use other airports as entry points in US and travel domestic routes. At least you will save lot of time coming out of airport."
29th March 2018,1,"""a poor welcome back""","✅ Trip Verified | The TSA agents at the security check-in area immediately following customs and baggage claim was one of the most chaotic systems I've ever experienced. One TSA agent told a passenger to push his bags through. 1 minute later, another TSA agent pulled the luggage out and stacked them in a pile. 20 seconds later, another TSA agent said ""who did this?"" In addition, they had a sarcastic tone to their verbal instructions. We had to ask for bins multipke times, especially after they continually specified that we need to empty our pockets. When my husband reached over for a bin that was being wheeled over, he was abruptly told, ""no, that's not for you, put it back"" and when another passenger reached fir a bin, he was told it would cost him $10. This unprofessional behavior was a poor welcome back for US citizens and represented the US poorly to visitors."
26th March 2018,6,"""security screening ridiculous""",✅ Trip Verified | I recently flew from Seattle to Frankfurt. Check in was a breeze! Took less than 10 minutes. Personnel in that area deserve 5 stars! The line to get through to the security screening was ridiculous. I waited a good hour! There was one person to serve in that area. I don’t understand why there were two priority TSA officers that more than half the time stood around waiting for non existent premium passengers!! Why could someone not funnel a few of us “cattle class” travelers over to these other TSA officers when they were twiddling their thumbs? Or possibly one of those officers could come over to assist a few passengers when there was a lull in the premium screening. There were never more than 10 people waiting in that priority line. What gives? Poor management!
20th March 2022,2,"""staff members at this airport were extremely rude""","Not Verified |  The staff members at this airport were extremely rude! This was consistent throughout the entire airport. My daughter and I were flying for the first time in a long time and we were appalled at the attitude of the TSA employees, the Bojangles employees, and the market employee. I don't understand how all of the employees throughout this entire airport all share the same negative and rude attitude. What I do understand is that working with the public can be difficult and exhausting. However, the reputation of the Charlotte Douglas Airport should be a consideration, I will do everything in my power from this point on to avoid flying in or out of this airport."
28th February 2022,1,"""Horrible COVID compliance""","Not Verified |  Horrible COVID compliance! Passengers were allowed in the terminal without masks. Airport employees were observed with masks that were not properly deployed, with noses and mouths uncovered. Avoid flying through CLT!!!"
16th January 2022,1,"""Apparently everything closes at 8.00pm""","✅ Trip Verified |  Apparently everything closes at 8.00pm and you’re an idiot if you don’t already know this based upon the employees we encountered. All we wanted to do was have a bite to eat and watch the game, but were rudely told the airport closes at 8.00 even with 10.00pm departures. Don’t plan on grabbing snacks or drinks from any other shops as they all close at 8.00pm and don’t ask if a shop is different."
17th December 2021,1,"""Extremely rude employees""","Not Verified | Extremely rude employees who acted like they were doing me a favor by doing there job. Also rude to my family. We will avoid this airport when ever possible do not think I have the patience to be around such disrespectful, rude people I considered filling a complaint but would be a waste of time for obvious reasons"
27th November 2021,1,"""amount of rude behavior was extremely uncalled for""","Not Verified |  Please explain to the TSA that for some people having a job is a privilege and if they hate their job so much that they need to take it out on all the passengers, it might be a sign to find another job they can be happier with. The amount of rude behavior witnessed by many from our flight was extremely uncalled for. You have done one thing very well, you made a 3rd world country look way better than you."
21st September 2021,1,"""avoid this airport""",✅ Trip Verified | The worst airport I have ever traveled through! If you are going on vacation please if possible avoid this airport! The worst experience flying I have ever had and also thank you American Airlines two busted bags and a hard landing!
21st September 2021,1,"""slow service, low staffing""","Not Verified | Coming back from Jamaica people joke about it being a third world country but comparing the service speed and courtesy there to the reception at this garbage airport is like night and day. Slow service, low staffing, no courtesy, and with two flights in the terminal you’d expect to be able to get your bag in less than an hour of standing"
19th September 2021,3,"""think these restaurants would be opened""","Not Verified |  First of all, no alcohol sales on Sunday until ten, and there are not enough restaurants in this place. The terminals are spare and I get that we are living in the times of COVID, but hunting down food … even coffee is nonsense. For the amount of people on this airport in the early morning, you would think these restaurants would be opened."
6th July 2021,1,"""She told me to file a complaint and step away""","✅ Trip Verified | There is a Market Fresh located right where you either turn right to go to gates ABCD or left for the E gates. There is a bar there with deli style food and sodas. The kiosk was not working so several people, more then 20, went over to the ""bar"" register and was told that she was sorry but she could only sell alcoholic drinks but would call someone to fix the kiosk. After standing there for 35 minutes in which she didn't even call anyone but continued serving drinks and more customer were turned away for the Fresh Market sandwiches and sodas, I asked again for her to call someone. She told me to file a complaint and step away. Wow, so the Charlotte Airport Fresh Market is more then happy to sell you booze but not food and sodas which is needed because airlines do not provide those. Also, I repeatedly asked people wishing around in collar shirts and walkie talkies and all they could say is they worked for AA but didn't know how to get in contact with anyone. So I sat for almost 3 hours waiting for my flight, not eating or drinking because I wouldn't purchase booze from fresh market. I could have stood in line for the same time to wait for a table to eat in a bar and I don't eat fast food. Way to go Charlotte Airport. 4th of July weekend and no one from Customer Service is walking the airport."
1st July 2021,2,"""The worst experience""","Not Verified |  The worst experience. After landing, waited in the plane 35 minutes for a gate to become available. Then waited over an hour for luggage. Airport too small for the amount of traffic or not properly managed."
16th June 2021,1,"""airport is simply not set up to handle the crowds""","Not Verified |  Has to be one of, if not the worst airports in America. The airport is simply not set up to handle the crowds pumping through there. If you have a connection that is less than an hour, you can forget about any food options due to super long lines at all of them. If your lucky, the lines at the Hudson news type places will only be 10 people long and you can grab a snack. I fly nearly every week and connect through Charlotte at least 4 times a month, it’s always the same. Staff for the most part is okay, unless you are in the regional jet area E gates. It is a free for all over there, very unorganized and chaotic. 5 years ago this airport was great, now I dread connecting there."
16th June 2021,4,"""lack of open restaurants/shops is ridiculous""","Not Verified |  The lack of open restaurants/shops is ridiculous. Airport volume is back to normal yet through three terminals there isn't a single place to buy a simple coffee. Seriously, what sadist has no available coffee at 6am? I get they needed some closures when travel was low during COVID, but that time is over. It's time to open this airport back up."
5th June 2021,1,"""The most disorganized airport I have travelled thru""",Not Verified |  Travelled thru on June 4. The most disorganized airport I have travelled thru. The crowds on departing bordered on mass hysteria. Bumper to bumper passengers. Was difficult to tell where lines started or ended. Most passengers were funneled thru gate E. Employees screaming directions to tell passengers where to line up. Terminal was so crowded there wasn’t anywhere to go. Zero social distancing. I would compare it to cattle being led into the slaughter trucks. A fair description! TSA agents overwhelmed. My encounter bordered on ridiculous. Too long to explain. I would avoid this destination at all costs.
1st June 2021,3,"""Not once has the baggage claim carousel been accurately reported""","Not Verified |  I have flown into Charlotte a dozen times. Not once has the baggage claim carousel been accurately reported. You leave travelers guessing if their baggage is on carousel B1, B2 or both when you just say B. Then you have people bouncing back and forth between carousels because of your lack of detail. There is also no organization when it comes to shuttles back to parking. You have no lines or anyone directing people, so there is just a mass of people. It’s so disorganized, some people are being courteous while others don’t care and just walk to the front of the line. It’s really embarrassing."
25th May 2021,2,"""every single time I have been delayed""",✅ Trip Verified | I have connected in Charlotte over 4 times in the past two years and every single time I have been delayed. I don’t think a flight ever leaves this airport on time.
17th May 2021,6,"""Everyone was helpful and friendly""","Not Verified |  PROS - Navigating the terminal: It has moving, belt walkways to help you move faster or, as in my case, assist you if you are somewhat handicapped. Food: There is a lovely atrium food court with rocking chairs, if you can get one, and a nice array of restaurant styles. The restaurants had very long lines, so I stopped in a convenience shop and got a sandwich to avoid the lines. Dogs: They have airport comfort dogs, I was really hoping to see one. Unfortunately, I did not. Maybe next time. Staff: Everyone was helpful and friendly. One of the young men sanitizing surfaces was actually dancing and just made you smile. The shop cashier told me I can grab a free bag of chips since I got the sandwich and a bottle of water. The gate attendant cheerfully added a note to allow me to pre-board, as I cannot pivot and navigate a tight space easily and unbeknownst to those around me, it brings me great physical pain to have to pivot and dodge other people and their baggage. She did however, add a request for a wheelchair, which I did not request and it caused some confusion for the staff at the destination terminal. CONS - Seating: There are not enough accessible seats. I needed a place to eat my sandwich and the rocking chairs were full and all the atrium seats that I could find were bar stool type chairs that, due to my handicap, I am completely unable to get on and off. I get around ok with a cane. However, I also had to stand at the gate, as there was not enough seating. I am still having extra trouble getting around a day after my trip due to the pain of having to stand."
7th May 2021,1,"""No time to enjoy or visit the airport amenities""","Not Verified |  American Airlines schedules so many flights at one time it's ridiculous. Once landed, it took 35 min to get to gate. Same way on departure. No time to enjoy or visit the airport amenities."
22nd April 2021,1,"""They don’t care about passengers safety""","Not Verified |  Worst airport ever. Dirty, over crowded, no soap in bathroom and no way to keep distance from other passengers. No one at the airport is cleaning, did the FAA forget to tell Charlotte Airport that we are in a pandemic. Most workers at the fast food have their noses out of the masks. I will pay more never to fly through Charlotte again. They don’t care about passengers safety."
13th April 2021,1,"""Most inefficient airport in the country""",✅ Trip Verified | Most inefficient airport in the country. Always end up waiting a minimum of 30 min plus to declare or take off. Poor logistics both on the ground and in the air. Dreadful experience.
6th April 2021,10,"""We were treated like VIP’s""",✅ Trip Verified | Even though I didn’t request when booking I was able to request assistance for my husband. When we arrived at the Charlotte airport they had someone at the door waiting with a wheelchair. We were treated like VIP’s. When it was time to board our next flight to our final destination even though we were in basic economy last to board they called us as the first to board. Since the plane was full they ask if we wanted complementary carry on checked bags which we were happy to do.
20th January 2021,9,"""it was improved""","Not Verified |  I have to admit, I was quite impressed with CLT. I hadn’t flew through here since the US merger and it was improved. The center core with concourses sticking out works well, the moving walkways are nice, and I explored all of the concourses as I was here for 4 hours. A, B, C, and D were nice, and the food options were excellent. Also, all of the staff were super nice and the facilities were clean. That being said, Concourse E needs some help as it feels run down, overcrowded, and is confusing."
19th November 2020,3,"""it has a long way to go""","Not Verified |  I cannot fathom how poor this airport has been especially in the midst of Covid. I was transitioning through this airport on my way home and I sadly missed my flight. I had to make some important international calls to sort out a new ticket but their internet was spotty at best and I could hardly hold a conversation for for than a few seconds without it dropping and I certainly couldn't do video. I had to piggy back off of a store's network I found somewhere b/c theirs was so unreliable. There wasn't even a Boingo Hotspot there that I could buy and no SIM card vending machines, or any vending machines for that matter in the main terminal, which makes things even more frustrating when the entire airport shuts down at 9pm and becomes a ghost town. Forget about sleeping if you get stranded. There isn't a comfortable place in site and their rocking chairs (very dated now) is really one of the few non-airport style chairs they have available. For being the 16th largest city in the U.S. as the Governor says repeatedly every 5 minutes on the recorded message, it has a long way to go. Few restaurants are open too so expect very long lines at your favourite places to go. Lastly, the TSA agents here are the rudest I have experienced. They yelled at customers, they didn't smile, they didn't even try to have conversation with people when people tried to be nice to them. They all seemed very dissatisfied with their work. Either their manager needs to be fired or they need to find new jobs."
19th November 2020,4,"""social distancing was non existent""",Not Verified |  This airport was too packed and social distancing was non existent. The staff walked around more than cleaned the facility and two young workers tried to get into a confrontation with me for no reason. They were in front of me on the automatic belt and kept looking back talking about me but I paid them no attention because I couldn't hear what they were saying. The food lines were long and no social distancing. The bathrooms were not cleaned enough. I have a 6 hour layover in the airport and had to keep moving around to less crowed areas to feel safe. Some people weren't wearing masks and no one in authority corrected them just the automatic message that played out periodically over the intercom.
5th November 2020,10,"""she saved the day!""","Not Verified |  Charlotte airport is crowded but always feels comfortable. In particular, I want to praise one woman who made my transition through Charlotte incredible. I don't know her name but, I got off my flight from Gainesville FL in the crowded end of E gates and had only a 1 hour layover, and made my way to my next departure in C 15 to Pittsburgh. I stopped to buy lunch and found that my wallet was missing. I quickly returned to E34 and begged the woman who was the gate agent to check the now empty jet, handed her my used boarding pass. She stopped what she was doing and walked through that door. I knew she wouldn't find it and began wondering how I would pay for my parking at PIT. A few minutes later, she emerged through that same door and handed me my wallet. It contained my credit and debit cards and my cash. All intact. I don't know her name but I told her she was my favorite person on Earth. The man seated nearby said ""you are one lucky guy"", and I agreed. I ran to C15 and made my flight. Whoever she was, she deserves praise. She could have told me ""no"", or ""you were warned to check for your belongings"". Instead she saved the day!"
10th October 2020,6,"""very surprised to find no potty liners in your toilets""","Not Verified |  During this time of the Pandemic or COVID, I was very surprised to find no potty liners in your toilets. I thought maybe it was overlooked in one of the restrooms, but I visited a couple and no potty liners to be found. I think it should be normal for added protection especially now during the pandemic. My airport in Portland, Oregon has them."
3rd September 2020,1,"""airport is in such disarray""",✅ Trip Verified | This airport is in such disarray. I flew from gate e33. They have so many people flocked at the end or this terminal that there are no seats. People are standing. The gates are so close. Like the door to the gate is maybe 2 feet from next gate. No organization at all. People were in line to speak with gate agent and she pretty much ignored us last two in line. I love flying American Airlines but if that means I have to connect in Charlotte then Delta it will be. I can only hope that they get this fixed real soon.
5th June 2020,8,"""the best airport I have been through""","Not Verified |  Flew through Charlotte Douglas international airport on the way to Antigua back in 2016. It was the best airport I have been through, easy to navigate, good food and shopping options, and nice staff. The best airport along the east coast by far."
7th March 2020,1,"""Nothing good to say about the airport""","Not Verified |  Nothing good to say about the airport or my experience flying into or out of Charlotte Airport, I'll just let my rating speak for itself. Absolutely terrible in every conceivable way."
18th February 2020,1,"""a shopping mall with planes""","Not Verified |  Total garbage, a shopping mall with planes. You'll end up waiting on the tarmac longer than you'll be in the air. I will avoid this airport for the rest of my life, and I hope you do too."
18th February 2020,3,"""Avoid Charlotte if possible""","Not Verified | The past several times changing planes thru Charlotte has been the greatest example of incompetent people being placed into positions that exceed their abilities. It gives me time to ponder the state of the US airline industry as a whole and some insight into how a thriving demand still results in oft dismal earnings. Maybe an over-regulated industry is not attracting the top tier talent and what we are left with are the likes of those that run Charlotte airport? Avoid Charlotte if possible, ATL is faster (that is saying something) and if you must fly thru CLT, allow yourself ample time."
4th February 2020,1,"""over-crowded, lacks seating""","Not Verified |  I find it repulsive every time I have to depart from it. It's over-crowded, lacks seating, constant tarmac delays waiting for gates to be available, and the departing airfares are at least $200 higher than similarly sized airports. AA has a monopoly (over 90% of all flights) and they clearly take advantage by price gouging and delivering horrible service with impunity. Our local officials should be locked up or investigated for how they mismanage tax money with this disaster for an airport."
27th December 2019,1,"""airport is an absolute nightmare""","Not Verified |  Worst airport experience I have ever had. This airport is an absolute nightmare. Our flight coming in was delayed and when we arrived they sent us back through security as we were running to catch our next flight. Got to the gate 12 minutes before the scheduled departure only to have them already close it. They weren't apologetic in the least, worst customer service ever! Just shouted at us that we will have to rebook a later flight, it's not their problem, but feel free to make some purchases in their airport. They had an entire family of 5 trying to catch their connecting flight and can see that their previous flight had just landed. Yet they refused to wait until even the scheduled departure time for us to get there. Garbage airport, horrible customer service, try to avoid at all costs."
22nd December 2019,2,"""one of the slowest airports""","Not Verified |  Our flight got in on time, around 10.00 pm, but then we waited almost 1.5 hours for luggage to even start appearing on the luggage carousel. Charlotte is one of the slowest airports I have ever been to. I don't know what the problem was. We were the only plane that landed at that time. If I didn't live near Charlotte, I would not use this airport."
18th November 2019,2,"""agents are rude""","Not Verified |  Unfortunately the previous reviews are correct. The agents are rude, my flight was delayed 3 times, and changed gates twice for the same flight. Truly the worst flying experience, I've had. Please someone fix CLT. I was warned by frequent fliers. They were right."
25th October 2019,1,"""Avoid CLT at all costs""","Not Verified |  Easily the worst airport I have ever been to in United States. My incoming AA flight from LHR was forced to wait for the gate to be ready once we arrived, and then once at the gate, we had to wait again to de-plane because Customs (Immigration/CPB) was backed up. Once we reached customs, it took over an hour to get through due to long lines and literally one CPB Officer processing inbound US Citizens. Once we were past Baggage Claim and Baggage Re-Check, the transfer from Concourse D to Concourse E took a ridiculous amount of time as the ""Moving Sidewalks"" were non-oprational. Once we finanlly arrived in Concourse E, the food and drink options were horrible (Burger King and Panda Express? Seriously?) Then our connecting flight was delayed due to late arrival of inbound flight, again because of poor Ground Operations. Finally, once we boarded, we were delayed again due to taxiway congestion. This is the most poorly managed airport I have ever traveled through and I will never book another flight through this airport. The levels of mismanagement were far worse than even bad Third World airports. Avoid CLT at all costs. You're welcome."
21st October 2019,1,"""worst airport I have been to""","✅ Trip Verified |  This is the worst airport I have been to. They are cramming too much traffic into a terrible, cramped airport. There are horrible lines for everything (bathrooms, food, rental cars, tsa, ticketing), nowhere near enough seating or food options and the whole place feels like a greyhound station. I will seriously alter my travel plans majorly to avoid ever coming here again. Its bad for the Charlotte economy."
19th October 2019,3,"""the airport offers nothing""","✅ Trip Verified | We have been traveling thru Charlotte for years. Never realized that late night flights, there are no amenities available. Really? Your flight is delayed, your stuck and on top of that the airport offers nothing! No food, no drinks, not even a vending machine? This airport is a poor example of an “international” airport. As with the airlines customer service is literally in the toilet. There needs to be an airport that cares about the folks that pass thru whether it’s a few minutes running to your connection or stranded for hours on end. Step it up, please!"
11th October 2019,3,"""astonishingly ""blah"" airport""","✅ Trip Verified | Charlotte Douglas is the most astonishingly ""blah"" airport that ever existed. The offerings of shops and restaurants are ""blah,"" with no discernible North Carolina-specific flair. The layout and architecture of the terminal I was in was ""blah,"" due to white and beige everything, low ceilings, and construction zones abounding. The carpeting and the seats were more ""blah"" than those found in a doctor's office, only far dirtier and more heavily used and aged. The ticketing gate agents were ""blah""; no one remotely rude but no one particularly smiley. The WiFi sucks. North Carolina itself is far from ""blah""; maybe its flagship airport shouldn't be!"
29th September 2019,1,"""Customs is a mess""","Not Verified | Customs is a mess. Over an hour already. Thousands of people, 20 kiosks - a real mess and embarrassing experience. Won’t fly American again. Fun watching crews and global passengers laugh at the zoo."
22nd September 2019,7,"""an excellent place to enter the United States""","✅ Trip Verified | Charlotte is an excellent place to enter the United States, if you have a choice. The customs area is very compact, and it's a short walk from the gates to the passport checkpoint. With Global Entry and a Carry-On bag, I went from jetway through the entire process and through security back into the passenger terminal in 20 minutes. I don't think there's any other major hub where that's doable. The rest of the airport is decent. On the plus side, it's a decent size - not as massive as Atlanta, but big enough to be able to stretch your legs if you have time to kill. There's also a good selection of food and drink at the airport, though prices are high. On the other hand, American schedules a lot of short connections through the airport, so you may not have time to enjoy the amenities. And note that a lot of the gate areas are under construction, and they can get very crowded, so be prepared to stand for awhile. Overall, I much prefer Charlotte to Atlanta and a lot of the other hubs. But it's not quite elite yet."
27th August 2019,1,"""Worst signage""","✅ Trip Verified | Worst signage, staff, rideshare pickup and generally the poorest airport you can imagine. Luggage took 30 mins to get. Bathrooms not clearly marked. Someone should get fired for allowing this airport to exist in this disorganized form."
1st August 2019,1,"""Absolutely awful experience""","✅ Trip Verified | Our flight to Dublin was cancelled due to mechanical issues, which is completely fine because I’d rather be on a safe flight. However, we waited on the plane for an hour before being told we would be moved to a different plane. Once we walked back into the airport, we were then told that the flight was completely cancelled which lead to a mad dash to the one attendant at the desk to try to change flights. No announcement was ever made about vouchers, where to pick up luggage, etc. We have waited in this line for answers for 3 hours. We tried calling American Airlines representatives who told us just to speak with an attendant in person. Just recently we were told to go collect our luggage near baggage claim. Currently, two of our family members are waiting to receive our luggage from a woman who said “There are only 5 employees pulling bags out, the other 50-100 have already clocked out and gone home.” I would say horrible miscommunication if there had been much communication at all. All that was needed was an overhead announcement stating where to pick up bags, wait in line to rebook flights, will email vouchers, or something to that extent. Absolutely awful experience."
15th July 2019,1,"""worst airport I’ve ever seen""",❎ Not Verified | Easily the worst airport I’ve ever seen! Charlotte is at least 20 years behind other real category x airports. The following is a list of cons because there are no pros to this miserable airports. No Seating accommodations for passengers who are stranded overnight which happens frequently for the slightest amount of rain. Only one bathroom on the entire 2nd-floor ticketing level. One bathroom for thousands of people. They’re so smart they put the smoking section right on the curbside which permeates the entire airport. All of the lines for food or drink are always packed. It’s always hot. They turn off their escalators so you have to climb stairs with your luggage. TSA is incapable of properly staffing their checkpoints which create massive waits! This due to the mistreatment of employees. Extremely narrow walkways in the concourses and again limited restrooms. They built a new concourse in A terminal and didn’t have the presence of mind to put seating for people to eat their food. Always traffic outside due to the dumb physical layout of the airport.
16th June 2019,2,"""needs to be some management improvement""","Not Verified |  There are so many problems with every aspect of this airport. I'm going to list problems with some no-cost or low-cost solutions. 1) Concourses are narrow, so pedestrian traffic is a mess. People are constantly bumping, almost bumping, crossing in front of, and getting behind slow people. Last night, a member of the cleaning crew had parked a rolling garbage bin in the middle of the concourse (E) and was off to the side having a casual conversation with a vendor. This caused many pedestrian issues, in an already stressful environment. Solution: train cleaning crews about traffic in the concourses and how to treat customers better and NOT block their paths. 2) Continual gate change for arrivals, and - what seems like - confusion for the airplane waiting to pull into the appropriate gate. I don't know how much larger airports are so organized, but CLT needs to have systems in place for parking planes quickly at their gates to get people to their connecting flights on time. Last night in Concourse E Gate 17 (6/13/2019), 5 breathless passengers showed up to catch the last flight to Columbia SC that day. The unconcerned gate employee told them the doors were closed, and there was nothing he could do. Their incoming flight had been blocked from their gate for a time, making them late to the Columbia flight and that flight pulled away without them. super simple, cheap solution: have a gate ready for each arriving plane. If a plane has passengers for connections, communicate with their connecting plane's crew to please wait 3-5 minutes for the passengers to arrive. 3) Some of the slide-walks weren't working, and you need that extra boost in speed to reach long distances between connections (see above). Solutions: maintain existing equipment and keep it running. 4) Lots of trash, lots of people working who seemed to not want to be there, and boarding queues crowding the already narrow corridors - there needs to be some management improvement at this airport. All of this makes me feel less safe flying."
4th June 2019,2,"""horrendous walking times""",✅ Trip Verified |  What a disaster. Airport is overcrowded with many rude employees that could care less about the traveling public. Many areas under construction with carpeted areas being difficult for travelers to move their bags. It is clear that the runways and traffic control are stretched which results in numerous cascading delays. Not enough seating - horrendous walking times - surly employees. 
15th May 2019,1,"""the rudest I have met to date""","✅ Trip Verified | Worst airport ever. I had a layover there coming from Germany. I am traveling with two service dogs. I had to get my luggage (even though it was checked through to SFO). When I got down to luggage claim one of those sniffer dogs they have, a small beagle (could have still been in training and I am not faulting the dog at all) went crazy seeing my dogs. I got yelled at by it's handler over the concourse that I need to pick up my dogs? and what kind of service dogs these were. I responded politely that this is a question she was not allowed to ask and that I felt uncomfortable yelling my disability over the airport. Her rude response was that there were probably just emotional support dogs and needed to be carried by me that for sure they were not service dogs like hers. Well no as your dog is not a service dog! It is a working dog, which is supposed to stay calm under any circumstance. Finally got it all finagled and re-checked my bag when I got to the 2nd very rude and obviously bored customs agent who asked me for the paperwork on my dogs. I hand him all the paperwork with the Aphis paperwork (shot verification) laying on top and hs rudely asks where is the rabies paperwork? Right there under your darn nose. I do not see it. Oh just go through I'll take your word for it. People at this airport are the rudest I have met to date and I have travelled a lot in my past. Rude and belligerent. Never again Charlotte."
2nd May 2019,1,"""It was a horrendous experience""",✅ Trip Verified | Charlotte is my home airport and as a business traveler I don’t have any problems. But I flew in with my 84 year old mother who had requested wheelchair assistance. After waiting over 30 minutes no one ever came. The airline got me a wheelchair but they are not allowed to transport passengers other than to and from the plane. I pushed my mother in a wheelchair while managing 3 bags. It was a horrendous experience. Topped off by over an hour to get the bags. I have to say the services at the airport are highly lacking. The parking personnel are wonderful!
23rd April 2019,1,"""the absolute worst airport""","✅ Trip Verified | I have never been through such a ridiculous international experience in all of the other airports I have flown through. I get off my international flight 20 mins early. Then have to go down and claim my baggage that should just go all of the way through. But no, I have to wait for two other flights that got there after us, before our bags came down. Then had to go re-check my bags, then go through customs for US again, then had to go back through TSA Check in with my carry on again. Then, finally get down to my flight, in which half of the walking escalators are not working to find I've missed my flight. This is the absolute worst airport I've ever been to."
16th April 2019,1,"""walking distance are ridiculous""","Not Verified |  One of the worst AA hubs. Each visit, there are at least 3 to 4 moving walkways and escalators under repair. The walking distance are ridiculous ie from E concourse to B concourse. No shuttles. And certainly encounter broken walkways. Food choices are awful. Get I'll every time I eat here. Most inefficient security of AA hubs. 1 TSA precheck open on a Monday morning with no less than 30 minute wait. Staff is rude. At another check point asked if i could leave shoes on since TSA pre and was rudely told this is not a TSA checkpoint. Every major airport in the US allows for shoes to stay on (but electronics out) and allow walk through scanner when boarding pass marked. Not the inefficient rude people in Charlotte. Horribly under seated in their waiting areas. Never enough seats. Wall to wall standing people in aisles and halls. This airport should not be a hub. They have no concept of efficiency or courtesy! I avoid them like the plague but sometimes have no choice."
25th January 2019,1,"""avoid at all costs""","✅ Trip Verified | The most garbage airport I've ever been in. Flew in from SFO one of the busiest in the country and these goons here were delayed on my landing (30 mins), theres no seating, food service were rude, TSA were rude, no transit for their gigantic airport, outlets to plug in phone run at such a low voltage you cant fast charge your phone, they somehow didnt have room for everyone to bring their carry on luggage on the plane (how is that a thing?) And my flight was delayed over an hour and a half. Beer was $10.71 (more than SF?). People running everywhere absolute chaos. Dirty and construction everywhere. I will never travel to this dump site again, avoid at all costs, pay more if you have to, warn your friends and family"
24th January 2019,2,"""delayed 90% of the time""","Not Verified | In October I wrote a review on Charlotte's complete incapacity in routing aircraft on the ground. I switched back to Delta. And they left me in Atlanta 3 weeks in a row on a Friday night so I gave up on them. So I went back to American where I was executive platinum but I had a strategy I would avoid the airport closest to my house (Charlotte) since they are delayed 90% of the time. Alas schedules get changed and unlike Delta, American will put you on another flight and invariably those go through Charlotte in the east coast. So I am departing on my 3rd flight via Charlotte this month. And it is delayed 1 hour. My other two were delayed 30 and 45 minutes. In all 3 cases the planes landed ahead of schedule and sat in the taxiway for 45, 35, and 37 minutes. I am baffled. No other airport I visit (85 in the last 12 months) has this issue. Maybe they don’t care like Delta for their diamonds or maybe they really are incompetent. But I would think there is a public safety risk if they are this incompetent. Should the FAA investigate? I don’t know but what I do know is I will do everything I can to go through DFW to avoid the inevitable missed flight yet again since Delta is no longer an option because they disdain their frequent flyers."
20th January 2019,2,"""Invest in one""","Not Verified |  It’s called a train/tram/dart/whatever you want to call it! Invest in one! Fast moving walkways can only get you places so fast. Every big airport like this one should have some kind of faster transit system. This isn’t cutting it. No sitting in terminal, especially when 9 are crammed into one tiny corner."
18th December 2018,2,"""no real variety in food options""","This airport has a couple of chains and some stuff that looks local, but overall no real variety in food options. I was hoping to grab a bottle of water and some gum during my layover, so I stopped by one of those convenience stores, only to find out that a small water was $4.50 and a pack of gum was $3. I know airports are always a little more expensive but that’s excessive. I saw the same bottle of water in another terminal for $1.75, if that gives you an idea of how ridiculous these prices are. There’s also very little shopping that appealed to me, and if there’s a duty free store I must have missed it. Definitely going to avoid ever coming to this airport again. At least some gates have a lot of outlets (not all, of course!)."
